A	Agilent Technologies, Inc.	143.53	0.748
AA	Alcoa Corporation	37.38	0.36
AAL	American Airlines Group, Inc.	23.53	0.0
AAN	Aarons Holdings Company, Inc.	36.55	0.1
AAOI	Applied Optoelectronics, Inc.	8.79	0.0
